year,ccode
2015,830
2015,835
2015,840
2015,850
2015,860
2015,900
2015,910
2015,920
2015,935
2015,940
2015,946
2015,947
2015,950
2015,955
2015,970
2015,983
2015,986
2015,987
2015,990
2016,2
2016,20
2016,31
2016,40
2016,41
2016,42
2016,51
2016,52
2016,53
2016,54
2016,55
2016,56
2016,57
2016,58
2016,60
2016,70
2016,80
2016,90
2016,91
2016,92
2016,93
2016,94
2016,95
2016,100
2016,101
2016,110
2016,115
2016,130
2016,135
2016,140
2016,145
2016,150
2016,155
2016,160
2016,165
2016,200
2016,205
2016,210
2016,211
2016,212
2016,220
2016,221
2016,223
2016,225
2016,230
2016,232
2016,235
2016,240
2016,245
2016,255
2016,260
2016,265
2016,267
2016,269
2016,271
2016,273
2016,275
2016,280
2016,290
2016,300
2016,305
2016,310
2016,315
2016,316
2016,317
2016,325
2016,327
2016,329
2016,331
2016,332
2016,335
2016,337
2016,338
2016,339
2016,343
2016,344
2016,345
2016,346
2016,349
2016,350
2016,352
2016,355
2016,359
2016,360
2016,365
2016,366
2016,367
2016,368
2016,369
2016,370
2016,371
2016,372
2016,373
2016,375
2016,380
2016,385
2016,390
2016,395
2016,402
2016,403
2016,404
2016,411
2016,420
2016,432
2016,433
2016,434
2016,435
2016,436
2016,437
2016,438
2016,439
2016,450
2016,451
2016,452
2016,461
2016,471
2016,475
2016,481
2016,482
2016,483
2016,484
2016,490
2016,500
2016,501
2016,510
2016,511
2016,516
2016,517
2016,520
2016,522
2016,530
2016,531
2016,540
2016,541
2016,551
2016,552
2016,553
2016,560
2016,565
2016,570
2016,571
2016,572
2016,580
2016,581
2016,590
2016,591
2016,600
2016,615
2016,616
2016,620
2016,625
2016,630
2016,640
2016,645
2016,651
2016,652
2016,660
2016,663
2016,666
2016,670
2016,678
2016,679
2016,680
2016,690
2016,692
2016,694
2016,696
2016,698
2016,700
2016,701
2016,702
2016,703
2016,704
2016,705
2016,710
2016,712
2016,713
2016,730
2016,731
2016,732
2016,740
2016,750
2016,760
2016,770
2016,771
2016,775
2016,780
2016,781
2016,790
2016,800
2016,811
2016,812
2016,816
2016,817
2016,820
2016,830
2016,835
2016,840
2016,850
2016,860
2016,900
2016,910
2016,920
2016,935
2016,940
2016,946
2016,947
2016,950
2016,955
2016,970
2016,983
2016,986
2016,987
2016,990
2017,2
2017,20
2017,31
2017,40
2017,41
2017,42
2017,51
2017,52
2017,53
2017,54
2017,55
2017,56
2017,57
2017,58
2017,60
2017,70
2017,80
2017,90
2017,91
2017,92
2017,93
2017,94
2017,95
2017,100
2017,101
2017,110
2017,115
2017,130
2017,135
2017,140
2017,145
2017,150
2017,155
2017,160
2017,165
2017,200
2017,205
2017,210
2017,211
2017,212
2017,220
2017,221
2017,223
2017,225
2017,230
2017,232
2017,235
2017,240
2017,245
2017,255
2017,260
2017,265
2017,267
2017,269
2017,271
2017,273
2017,275
2017,280
2017,290
2017,300
2017,305
2017,310
2017,315
2017,316
2017,317
2017,325
2017,327
2017,329
2017,331
2017,332
2017,335
2017,337
2017,338
2017,339
2017,343
2017,344
2017,345
2017,346
2017,349
2017,350
2017,352
2017,355
2017,359
2017,360
2017,365
2017,366
2017,367
2017,368
2017,369
2017,370
2017,371
2017,372
2017,373
2017,375
2017,380
2017,385
2017,390
2017,395
2017,402
2017,403
2017,404
2017,411
2017,420
2017,432
2017,433
2017,434
2017,435
2017,436
2017,437
2017,438
2017,439
2017,450
2017,451
2017,452
2017,461
2017,471
2017,475
2017,481
2017,482
2017,483
2017,484
2017,490
2017,500
2017,501
2017,510
2017,511
2017,516
2017,517
2017,520
2017,522
2017,530
2017,531
2017,540
2017,541
2017,551
2017,552
2017,553
2017,560
2017,565
2017,570
2017,571
2017,572
2017,580
2017,581
2017,590
2017,591
2017,600
2017,615
2017,616
2017,620
2017,625
2017,630
2017,640
2017,645
2017,651
2017,652
2017,660
2017,663
2017,666
2017,670
2017,678
2017,679
2017,680
2017,690
2017,692
2017,694
2017,696
2017,698
2017,700
2017,701
2017,702
2017,703
2017,704
2017,705
2017,710
2017,712
2017,713
2017,730
2017,731
2017,732
2017,740
2017,750
2017,760
2017,770
2017,771
2017,775
2017,780
2017,781
2017,790
2017,800
2017,811
2017,812
2017,816
2017,817
2017,820
2017,830
2017,835
2017,840
2017,850
2017,860
2017,900
2017,910
2017,920
2017,935
2017,940
2017,946
2017,947
2017,950
2017,955
2017,970
2017,983
2017,986
2017,987
2017,990
2018,2
2018,20
2018,31
2018,40
2018,41
2018,42
2018,51
2018,52
2018,53
2018,54
2018,55
2018,56
2018,57
2018,58
2018,60
2018,70
2018,80
2018,90
2018,91
2018,92
2018,93
2018,94
2018,95
2018,100
2018,101
2018,110
2018,115
2018,130
2018,135
2018,140
2018,145
2018,150
2018,155
2018,160
2018,165
2018,200
2018,205
2018,210
2018,211
2018,212
2018,220
2018,221
2018,223
2018,225
2018,230
2018,232
2018,235
2018,240
2018,245
2018,255
2018,260
2018,265
2018,267
2018,269
2018,271
2018,273
2018,275
2018,280
2018,290
2018,300
2018,305
2018,310
2018,315
2018,316
2018,317
2018,325
2018,327
2018,329
2018,331
2018,332
2018,335
2018,337
2018,338
2018,339
2018,343
2018,344
2018,345
2018,346
2018,349
2018,350
2018,352
2018,355
2018,359
2018,360
2018,365
2018,366
2018,367
2018,368
2018,369
2018,370
2018,371
2018,372
2018,373
2018,375
2018,380
2018,385
2018,390
2018,395
2018,402
2018,403
2018,404
2018,411
2018,420
2018,432
2018,433
2018,434
2018,435
2018,436
2018,437
2018,438
2018,439
2018,450
2018,451
2018,452
2018,461
2018,471
2018,475
2018,481
2018,482
2018,483
2018,484
2018,490
2018,500
2018,501
2018,510
2018,511
2018,516
2018,517
2018,520
2018,522
2018,530
2018,531
2018,540
2018,541
2018,551
2018,552
2018,553
2018,560
2018,565
2018,570
2018,571
2018,572
2018,580
2018,581
2018,590
2018,591
2018,600
2018,615
2018,616
2018,620
2018,625
2018,630
2018,640
2018,645
2018,651
2018,652
2018,660
2018,663
2018,666
2018,670
2018,678
2018,679
2018,680
2018,690
2018,692
2018,694
2018,696
2018,698
2018,700
2018,701
2018,702
2018,703
2018,704
2018,705
2018,710
2018,712
2018,713
2018,730
2018,731
2018,732
2018,740
2018,750
2018,760
2018,770
2018,771
2018,775
2018,780
2018,781
2018,790
2018,800
2018,811
2018,812
2018,816
2018,817
2018,820
2018,830
2018,835
2018,840
2018,850
2018,860
2018,900
2018,910
2018,920
2018,935
2018,940
2018,946
2018,947
2018,950
2018,955
2018,970
2018,983
2018,986
2018,987
2018,990
2019,2
2019,20
2019,31
2019,40
2019,41
2019,42
2019,51
2019,52
2019,53
2019,54
2019,55
2019,56
2019,57
2019,58
2019,60
2019,70
2019,80
2019,90
2019,91
2019,92
2019,93
2019,94
2019,95
2019,100
2019,101
2019,110
2019,115
2019,130
2019,135
2019,140
2019,145
2019,150
2019,155
2019,160
2019,165
2019,200
2019,205
2019,210
2019,211
2019,212
2019,220
2019,221
2019,223
2019,225
2019,230
2019,232
2019,235
2019,240
2019,245
2019,255
2019,260
2019,265
2019,267
2019,269
2019,271
2019,273
2019,275
2019,280
2019,290
2019,300
2019,305
2019,310
2019,315
2019,316
2019,317
2019,325
2019,327
2019,329
2019,331
2019,332
2019,335
2019,337
2019,338
2019,339
2019,343
2019,344
2019,345
2019,346
2019,349
2019,350
2019,352
2019,355
2019,359
2019,360
2019,365
2019,366
2019,367
2019,368
2019,369
2019,370
2019,371
2019,372
2019,373
2019,375
2019,380
2019,385
2019,390
2019,395
2019,402
2019,403
2019,404
2019,411
2019,420
2019,432
2019,433
2019,434
2019,435
2019,436
2019,437
2019,438
2019,439
2019,450
2019,451
2019,452
2019,461
2019,471
2019,475
2019,481
2019,482
2019,483
2019,484
2019,490
2019,500
2019,501
2019,510
2019,511
2019,516
2019,517
2019,520
2019,522
2019,530
2019,531
2019,540
2019,541
2019,551
2019,552
2019,553
2019,560
2019,565
2019,570
2019,571
2019,572
2019,580
2019,581
2019,590
2019,591
2019,600
2019,615
2019,616
2019,620
2019,625
2019,630
2019,640
2019,645
2019,651
2019,652
2019,660
2019,663
2019,666
2019,670
2019,678
2019,679
2019,680
2019,690
2019,692
2019,694
2019,696
2019,698
2019,700
2019,701
2019,702
2019,703
2019,704
2019,705
2019,710
2019,712
2019,713
2019,730
2019,731
2019,732
2019,740
2019,750
2019,760
2019,770
2019,771
2019,775
2019,780
2019,781
2019,790
2019,800
2019,811
2019,812
2019,816
2019,817
2019,820
2019,830
2019,835
2019,840
